                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3261,                 2.0817,                 1.1716,                 0.1187,                0.17251,                0.09782,                0.03119,                 2.3934,                 2.4907,                 1.2404,              0.0099347,              0.0099347,              0.0099347
                     35,                 2.3141,                 2.0817,                 1.1868,                0.18134,                0.18389,                0.11203,                 0.0395,                 2.3212,                 2.3923,                 1.2241,              0.0099327,              0.0099327,              0.0099327
                     36,                 2.3272,                 2.0647,                 1.1708,                0.15372,                0.17647,                0.11133,                0.03687,                 2.3235,                 2.4827,                 1.2272,              0.0099307,              0.0099307,              0.0099307
                     37,                 2.2951,                 2.0688,                 1.1733,                0.18829,                0.18031,                0.10711,                0.03492,                 2.4106,                  2.377,                 1.2505,              0.0099287,              0.0099287,              0.0099287
                     38,                 2.2996,                  2.064,                 1.1721,                0.13249,                0.22668,                0.10881,                0.03652,                 2.3466,                 2.5049,                 1.1984,              0.0099267,              0.0099267,              0.0099267
                     39,                 2.2942,                  2.022,                 1.1626,                0.18239,                0.19272,                0.12088,                0.04058,                 2.3827,                 2.2964,                 1.2447,              0.0099248,              0.0099248,              0.0099248
                     40,                 2.2851,                 2.0127,                 1.1661,                0.15064,                0.18902,                 0.1006,                0.03295,                 2.3857,                 2.5666,                 1.2448,              0.0099228,              0.0099228,              0.0099228
                     41,                 2.2773,                 2.0134,                 1.1657,                0.14793,                0.19019,                0.10601,                0.03673,                  2.431,                 2.4498,                 1.2754,              0.0099208,              0.0099208,              0.0099208
                     42,                 2.2942,                 2.0056,                  1.169,                0.17188,                0.16775,                0.11521,                0.03912,                 2.4153,                 2.4808,                 1.2341,              0.0099188,              0.0099188,              0.0099188
                     43,                 2.3101,                 2.0247,                 1.1663,                0.22002,                0.20612,                0.12441,                0.04371,                 2.3882,                 2.3054,                 1.2388,              0.0099168,              0.0099168,              0.0099168
                     44,                 2.2904,                 2.0246,                 1.1882,                0.16207,                0.24321,                0.12204,                0.04154,                 2.3225,                 2.3521,                 1.2254,              0.0099149,              0.0099149,              0.0099149
                     45,                 2.2634,                   1.98,                 1.1532,                0.17208,                 0.2009,                0.11414,                0.03997,                 2.4541,                  2.362,                 1.2862,              0.0099129,              0.0099129,              0.0099129
                     46,                  2.245,                 1.9464,                 1.1612,                0.19199,                0.21035,                0.12692,                0.04342,                 2.3868,                  2.462,                 1.2635,              0.0099109,              0.0099109,              0.0099109
                     47,                  2.256,                  1.973,                 1.1784,                0.15019,                0.21988,                0.11436,                0.03794,                 2.3876,                 2.3874,                 1.2401,              0.0099089,              0.0099089,              0.0099089
                     48,                 2.2664,                 1.9691,                 1.1573,                0.18265,                  0.198,                0.11872,                0.04158,                 2.4465,                 2.4565,                 1.2485,              0.0099069,              0.0099069,              0.0099069
                     49,                 2.2599,                 1.9514,                 1.1483,                0.20888,                0.22538,                0.13652,                0.04624,                 2.4161,                 2.3058,                 1.2571,               0.009905,               0.009905,               0.009905
                     50,                 2.2386,                 1.9124,                 1.1623,                0.20304,                0.24489,                0.11864,                0.03879,                 2.3909,                 2.4508,                 1.2402,               0.009903,               0.009903,               0.009903
                     51,                 2.2325,                 1.8902,                  1.156,                0.16933,                0.18878,                0.11916,                0.04035,                 2.3872,                 2.3224,                 1.2501,               0.009901,               0.009901,               0.009901
                     52,                 2.2397,                 1.9381,                 1.1416,                0.25979,                0.18129,                0.11185,                0.03602,                 2.3671,                 2.4973,                 1.2482,               0.009899,               0.009899,               0.009899
                     53,                 2.2325,                 1.9314,                 1.1477,                0.18646,                0.23485,                0.12697,                0.04111,                 2.3885,                 2.3231,                 1.2485,               0.009897,               0.009897,               0.009897
                     54,                 2.2226,                  1.877,                 1.1493,                 0.1865,                0.20814,                0.12528,                 0.0412,                 2.4011,                 2.3387,                  1.253,              0.0098951,              0.0098951,              0.0098951
                     55,                 2.2243,                 1.8901,                 1.1535,                0.17388,                0.17267,                 0.1185,                0.04029,                 2.4186,                 2.3485,                 1.2611,              0.0098931,              0.0098931,              0.0098931
                     56,                 2.2595,                 1.9042,                 1.1482,                0.18995,                0.21109,                0.12233,                 0.0409,                 2.4493,                 2.3326,                  1.279,              0.0098911,              0.0098911,              0.0098911
                     57,                 2.2197,                 1.8506,                 1.1449,                0.19146,                0.18902,                0.12529,                0.04057,                 2.4118,                 2.3904,                 1.2304,              0.0098891,              0.0098891,              0.0098891
                     58,                 2.2339,                 1.8854,                 1.1491,                0.17599,                0.21584,                 0.1206,                0.04247,                 2.4098,                  2.368,                 1.2575,              0.0098871,              0.0098871,              0.0098871
                     59,                  2.222,                 1.8716,                 1.1652,                0.19674,                0.22872,                0.13893,                0.04513,                  2.392,                 2.3463,                 1.2406,              0.0098852,              0.0098852,              0.0098852
                     60,                 2.2161,                 1.8302,                  1.146,                0.21006,                0.20643,                0.13231,                0.04465,                 2.4192,                  2.465,                 1.2589,              0.0098832,              0.0098832,              0.0098832
                     61,                 2.2156,                 1.8444,                  1.137,                0.19164,                0.19201,                0.13246,                0.04563,                 2.4026,                 2.3464,                 1.2514,              0.0098812,              0.0098812,              0.0098812
                     62,                 2.1812,                 1.8114,                 1.1221,                0.15311,                0.21507,                0.12567,                0.04149,                 2.3979,                 2.3439,                 1.2529,              0.0098792,              0.0098792,              0.0098792
                     63,                 2.2039,                 1.8219,                 1.1498,                0.12812,                0.24958,                0.11342,                0.03962,                 2.4127,                 2.3346,                 1.2532,              0.0098772,              0.0098772,              0.0098772
                     64,                  2.192,                 1.8249,                 1.1529,                0.15755,                 0.2298,                0.12531,                0.04432,                 2.4549,                 2.3419,                 1.2674,              0.0098753,              0.0098753,              0.0098753
                     65,                 2.1801,                 1.7758,                 1.1316,                0.16921,                0.19998,                 0.1177,                0.03836,                  2.418,                 2.3494,                  1.251,              0.0098733,              0.0098733,              0.0098733
                     66,                 2.1804,                 1.7938,                 1.1377,                0.16075,                0.22935,                0.12968,                0.04425,                 2.4099,                 2.3939,                 1.2642,              0.0098713,              0.0098713,              0.0098713
                     67,                 2.1801,                 1.7835,                 1.1363,                0.17372,                0.21427,                 0.1263,                0.04266,                 2.4505,                 2.3422,                 1.2653,              0.0098693,              0.0098693,              0.0098693
                     68,                 2.1749,                 1.7833,                 1.1376,                0.20761,                0.20594,                0.13908,                0.04552,                 2.4138,                 2.2675,                 1.2647,              0.0098673,              0.0098673,              0.0098673
                     69,                 2.1712,                 1.7645,                 1.1392,                0.18816,                0.20029,                0.12723,                0.04128,                 2.4617,                 2.3971,                 1.2749,              0.0098654,              0.0098654,              0.0098654
                     70,                 2.1659,                 1.7665,                 1.1312,                 0.1753,                0.24983,                0.13863,                0.04445,                 2.4147,                 2.2987,                 1.2457,              0.0098634,              0.0098634,              0.0098634
                     71,                 2.1556,                 1.7068,                 1.1267,                 0.2101,                 0.1625,                0.12442,                0.03915,                 2.4429,                 2.3837,                 1.2628,              0.0098614,              0.0098614,              0.0098614
                     72,                 2.1604,                 1.7487,                 1.1319,                0.16223,                0.20007,                0.11914,                0.03962,                 2.4287,                 2.2811,                 1.2734,              0.0098594,              0.0098594,              0.0098594
                     73,                 2.1521,                  1.731,                 1.1318,                0.16723,                0.21047,                0.13076,                0.04322,                 2.4533,                 2.3073,                 1.2604,              0.0098574,              0.0098574,              0.0098574
                     74,                 2.1709,                 1.7221,                 1.1267,                0.20656,                0.22058,                0.12579,                 0.0382,                 2.4405,                 2.3389,                 1.2589,              0.0098555,              0.0098555,              0.0098555
                     75,                 2.1429,                 1.6993,                 1.1273,                0.16941,                0.20178,                0.11317,                0.03642,                 2.4787,                 2.4004,                  1.257,              0.0098535,              0.0098535,              0.0098535
                     76,                 2.1498,                 1.6958,                 1.1223,                0.18722,                0.20799,                0.12853,                0.04176,                 2.4923,                 2.3626,                 1.2766,              0.0098515,              0.0098515,              0.0098515
                     77,                 2.1408,                 1.7059,                 1.1226,                0.17749,                0.19209,                0.11256,                0.03765,                 2.5092,                 2.4962,                 1.3174,              0.0098495,              0.0098495,              0.0098495
                     78,                 2.1441,                  1.666,                 1.1191,                0.17924,                 0.2122,                0.13072,                0.04091,                 2.5584,                  2.468,                 1.2954,              0.0098475,              0.0098475,              0.0098475
                     79,                 2.1414,                 1.6858,                 1.1257,                0.17532,                0.20396,                0.12634,                0.03965,                 2.4687,                 2.4217,                 1.2649,              0.0098456,              0.0098456,              0.0098456
                     80,                 2.1284,                 1.6928,                 1.1099,                0.22316,                0.19585,                0.13241,                0.04466,                 2.4084,                 2.3011,                 1.2548,              0.0098436,              0.0098436,              0.0098436
                     81,                 2.1378,                 1.6833,                 1.1054,                0.21218,                0.17914,                0.12502,                0.03863,                 2.4935,                 2.3162,                 1.2774,              0.0098416,              0.0098416,              0.0098416
                     82,                  2.092,                 1.6366,                 1.1068,                0.16995,                0.21291,                0.12222,                0.04021,                 2.4955,                 2.3872,                 1.2798,              0.0098396,              0.0098396,              0.0098396
                     83,                 2.0921,                 1.6505,                 1.1083,                0.13245,                0.23214,                0.11225,                0.03853,                 2.4571,                 2.4472,                 1.2807,              0.0098376,              0.0098376,              0.0098376
                     84,                 2.1206,                 1.6545,                 1.1052,                 0.1927,                0.20031,                0.13394,                0.04462,                 2.5098,                 2.2809,                 1.3112,              0.0098357,              0.0098357,              0.0098357
                     85,                 2.0962,                 1.6181,                 1.1131,                0.19985,                0.21121,                0.12529,                0.03998,                 2.4709,                 2.3189,                 1.2834,              0.0098337,              0.0098337,              0.0098337
                     86,                 2.1089,                 1.6121,                 1.1062,                0.18462,                0.22618,                0.14637,                0.04995,                 2.4885,                 2.2674,                 1.2982,              0.0098317,              0.0098317,              0.0098317
                     87,                 2.0936,                 1.6283,                 1.1033,                0.20794,                0.22826,                0.13682,                0.04446,                 2.5038,                 2.3384,                 1.2841,              0.0098297,              0.0098297,              0.0098297
                     88,                 2.0848,                 1.5932,                 1.1138,                 0.1824,                 0.2171,                0.12384,                0.04077,                 2.5027,                 2.4648,                 1.2955,              0.0098277,              0.0098277,              0.0098277
                     89,                 2.0779,                 1.6009,                 1.0964,                0.14599,                0.22939,                0.11816,                0.03976,                 2.5459,                  2.389,                 1.3118,              0.0098258,              0.0098258,              0.0098258
                     90,                 2.0707,                 1.5716,                 1.0852,                0.17492,                0.18966,                0.11809,                0.03858,                 2.5162,                  2.391,                  1.292,              0.0098238,              0.0098238,              0.0098238
