                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2723,                 1.9863,                 1.1518,                0.17342,                0.21438,                0.12275,                0.04127,                 2.3875,                 2.2849,                 1.2589,              0.0008911,              0.0008911,              0.0008911
                     35,                 2.2732,                 1.9738,                 1.1696,                0.18726,                0.22648,                0.12462,                0.04226,                 2.3789,                 2.4225,                 1.2506,              0.0008878,              0.0008878,              0.0008878
                     36,                 2.2702,                 1.9508,                 1.1498,                0.22771,                0.20744,                0.12851,                0.04178,                 2.3773,                 2.4275,                 1.2325,              0.0008845,              0.0008845,              0.0008845
                     37,                  2.235,                  1.946,                 1.1543,                0.16132,                0.20414,                0.11905,                 0.0396,                 2.4021,                 2.3789,                 1.2683,              0.0008812,              0.0008812,              0.0008812
                     38,                 2.2553,                 1.9567,                 1.1645,                0.17917,                0.19502,                0.11953,                0.04049,                  2.373,                 2.3891,                 1.2267,              0.0008779,              0.0008779,              0.0008779
                     39,                 2.2388,                  1.923,                 1.1374,                0.27256,                0.18407,                0.13683,                0.04701,                  2.361,                 2.3936,                 1.2382,              0.0008746,              0.0008746,              0.0008746
                     40,                 2.2305,                 1.9095,                 1.1448,                0.20279,                0.19298,                0.13418,                0.04307,                 2.4215,                 2.4075,                 1.2284,              0.0008713,              0.0008713,              0.0008713
                     41,                 2.2195,                 1.9116,                 1.1439,                0.14465,                0.21693,                0.12589,                0.04131,                 2.3816,                 2.5229,                 1.2265,               0.000868,               0.000868,               0.000868
                     42,                 2.2378,                 1.9018,                 1.1525,                0.23459,                0.20216,                0.13622,                0.04214,                 2.4443,                 2.3321,                 1.2618,              0.0008647,              0.0008647,              0.0008647
                     43,                 2.2595,                 1.9066,                 1.1476,                0.15482,                0.23382,                0.11471,                0.03938,                 2.4158,                 2.3886,                 1.2631,              0.0008614,              0.0008614,              0.0008614
                     44,                 2.2295,                 1.8898,                 1.1628,                0.16925,                 0.2196,                0.11897,                0.04155,                 2.4002,                 2.2998,                 1.2363,              0.0008581,              0.0008581,              0.0008581
                     45,                 2.2115,                 1.8582,                 1.1293,                0.18163,                0.20544,                0.13465,                0.04679,                 2.3764,                 2.3502,                 1.2332,              0.0008548,              0.0008548,              0.0008548
                     46,                 2.1916,                 1.8046,                 1.1413,                0.20972,                0.21227,                0.12209,                0.03904,                 2.4258,                 2.3597,                 1.2595,              0.0008515,              0.0008515,              0.0008515
                     47,                 2.1985,                 1.8311,                  1.159,                 0.1663,                0.21775,                0.11666,                0.03882,                 2.4023,                 2.4198,                   1.25,              0.0008482,              0.0008482,              0.0008482
                     48,                 2.2111,                 1.8459,                 1.1301,                0.19466,                0.20347,                0.11585,                0.03686,                 2.5054,                 2.4514,                 1.2676,              0.0008449,              0.0008449,              0.0008449
                     49,                 2.2009,                 1.8385,                 1.1294,                0.20036,                0.17207,                0.11908,                0.04164,                 2.3925,                 2.3517,                 1.2522,              0.0008416,              0.0008416,              0.0008416
                     50,                 2.1675,                 1.8009,                 1.1303,                 0.2052,                0.21553,                0.12076,                0.03818,                 2.4705,                 2.4018,                 1.2468,              0.0008383,              0.0008383,              0.0008383
                     51,                 2.1675,                 1.7552,                 1.1267,                0.16938,                0.22782,                0.11848,                0.03686,                 2.5423,                 2.4213,                 1.2846,               0.000835,               0.000835,               0.000835
                     52,                 2.1761,                 1.7962,                 1.1176,                0.19258,                0.21244,                0.12492,                 0.0405,                 2.4469,                 2.3748,                 1.2672,              0.0008317,              0.0008317,              0.0008317
                     53,                 2.1567,                 1.7797,                 1.1176,                0.22938,                 0.2177,                0.15114,                0.04751,                 2.4274,                 2.3449,                 1.2587,              0.0008284,              0.0008284,              0.0008284
                     54,                 2.1616,                 1.7684,                 1.1268,                0.21163,                0.22563,                0.13393,                 0.0432,                 2.4245,                 2.3525,                 1.2625,              0.0008251,              0.0008251,              0.0008251
                     55,                 2.1491,                  1.758,                 1.1259,                0.17469,                 0.2219,                0.11576,                0.03599,                 2.4495,                 2.3801,                 1.2769,              0.0008218,              0.0008218,              0.0008218
