                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2219,                 1.8662,                 1.1443,                0.19081,                0.24624,                0.13872,                0.04954,                  2.347,                 2.3196,                 1.2247,              0.0003268,              0.0003268,              0.0003268
                     36,                 2.2033,                 1.8262,                 1.1251,                0.18826,                0.21042,                0.12526,                0.03934,                 2.4485,                 2.3087,                 1.2554,               0.000307,               0.000307,               0.000307
                     37,                 2.1763,                 1.7945,                 1.1289,                0.18908,                0.22542,                0.12575,                0.04273,                 2.3824,                 2.2867,                 1.2482,              0.0002872,              0.0002872,              0.0002872
                     38,                 2.1766,                 1.7909,                 1.1349,                0.19772,                0.21648,                 0.1343,                 0.0447,                 2.3546,                 2.2776,                 1.2241,              0.0002674,              0.0002674,              0.0002674
                     39,                  2.165,                 1.7726,                 1.1171,                0.18456,                0.20756,                0.13551,                0.04552,                 2.3686,                 2.3149,                 1.2291,              0.0002476,              0.0002476,              0.0002476
                     40,                 2.1587,                 1.7519,                 1.1225,                0.23124,                0.19582,                0.13299,                0.04218,                 2.4626,                 2.2676,                 1.2744,              0.0002278,              0.0002278,              0.0002278
                     41,                 2.1248,                 1.8096,                 1.1596,                0.19108,                0.21738,                0.14265,                0.04911,                 2.3842,                 2.2536,                 1.2347,               0.000208,               0.000208,               0.000208
                     42,                 2.1025,                 1.7347,                 1.1498,                0.21075,                0.24655,                0.14553,                0.04891,                 2.3956,                 2.2493,                 1.2546,              0.0001882,              0.0001882,              0.0001882
                     43,                 2.0915,                  1.714,                 1.1456,                0.21472,                0.23407,                0.14209,                0.04897,                 2.3648,                 2.2113,                 1.2387,              0.0001684,              0.0001684,              0.0001684
                     44,                   2.09,                 1.6899,                 1.1503,                 0.1924,                0.22514,                0.13966,                0.04889,                 2.3953,                 2.2048,                 1.2425,              0.0001486,              0.0001486,              0.0001486
                     45,                 2.0584,                 1.6493,                 1.1352,                0.21003,                0.23602,                0.14799,                0.05156,                 2.3989,                 2.2076,                 1.2435,              0.0001288,              0.0001288,              0.0001288
                     46,                 2.0603,                 1.6299,                 1.1407,                 0.2196,                0.25636,                0.14872,                0.05169,                 2.4099,                 2.1512,                 1.2605,               0.000109,               0.000109,               0.000109
                     47,                 2.0698,                 1.6421,                  1.139,                0.20535,                0.24171,                0.13891,                 0.0472,                 2.4112,                 2.2037,                 1.2615,               8.92e-05,               8.92e-05,               8.92e-05
                     48,                 2.0526,                 1.5899,                  1.122,                0.20675,                 0.2315,                0.13892,                0.04752,                 2.4327,                 2.1817,                 1.2619,               6.94e-05,               6.94e-05,               6.94e-05
                     49,                 2.0396,                 1.5768,                 1.1326,                0.19764,                0.23071,                0.14079,                0.04688,                 2.4567,                 2.1861,                 1.2609,               4.96e-05,               4.96e-05,               4.96e-05
                     50,                 2.0312,                   1.57,                 1.1092,                0.21101,                0.25322,                0.14311,                0.04805,                 2.4324,                 2.1872,                 1.2583,               2.98e-05,               2.98e-05,               2.98e-05
